City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Lata,PT,2022-07-12 18:31:03,40.1629,-8.3327,92.62,23,100,3.58
119,Kupang,ID,2022-07-12 18:31:03,-10.1667,123.5833,72.01,73,92,11.54
120,Tevaitoa,PF,2022-07-12 18:31:04,-16.7833,-151.5,77.47,76,0,10.0
121,Lebu,CL,2022-07-12 18:31:04,-37.6167,-73.65,50.9,89,90,4.47
122,Chapais,CA,2022-07-12 18:31:05,49.7834,-74.8492,64.18,86,100,8.43
123,Hami,CN,2022-07-12 18:31:05,42.8,93.45,85.53,20,100,26.15
124,Clyde River,CA,2022-07-12 18:31:06,70.4692,-68.5914,46.63,76,40,8.05
125,Srednekolymsk,RU,2022-07-12 18:31:06,67.45,153.6833,67.33,54,29,4.12
126,Mumford,GH,2022-07-12 18:31:08,5.2618,-0.759,75.24,84,14,8.72
127,Nizwa,OM,2022-07-12 18:31:08,22.9333,57.5333,82.96,74,95,3.15
128,Ulladulla,AU,2022-07-12 18:31:09,-35.35,150.4667,46.63,83,100,6.87
129,Isangel,VU,2022-07-12 18:31:09,-19.55,169.2667,68.11,94,87,1.14
130,Bredasdorp,ZA,2022-07-12 18:31:10,-34.5322,20.0403,50.2,85,0,4.68
131,Banda Aceh,ID,2022-07-12 18:31:10,5.5577,95.3222,79.86,76,100,13.51
132,Palmdale,US,2022-07-12 18:31:11,34.5794,-118.1165,99.18,21,0,7.0
133,Semey,KZ,2022-07-12 18:32:12,50.4111,80.2275,67.91,51,0,13.35
134,Klaksvik,FO,2022-07-12 18:32:12,62.2266,-6.589,50.92,86,100,31.79
135,Lasa,IT,2022-07-12 18:32:12,46.6166,10.7002,74.28,60,18,6.51
136,Sturgis,US,2022-07-12 18:30:09,41.7992,-85.4192,78.93,53,40,6.91
137,Grindavik,IS,2022-07-12 18:32:13,63.8424,-22.4338,54.07,71,75,20.71
138,Tiksi,RU,2022-07-12 18:32:13,71.6872,128.8694,35.29,97,100,11.21
139,Asyut,EG,2022-07-12 18:32:14,27.181,31.1837,89.17,26,16,9.6
140,Ribeira Grande,PT,2022-07-12 18:32:14,38.5167,-28.7,77.4,57,40,14.97
141,Coquimbo,CL,2022-07-12 18:32:15,-29.9533,-71.3436,61.66,57,0,7.54
142,Arraial Do Cabo,BR,2022-07-12 18:30:35,-22.9661,-42.0278,87.76,57,0,8.05
143,Mayor Pablo Lagerenza,PY,2022-07-12 18:32:15,-19.9309,-60.7718,70.72,37,96,7.02
144,Mansehra,PK,2022-07-12 18:32:16,34.3333,73.2,72.93,81,7,4.12
145,Kununurra,AU,2022-07-12 18:32:17,-15.7667,128.7333,64.38,17,0,14.97
146,Port Elizabeth,ZA,2022-07-12 18:32:17,-33.918,25.5701,51.1,93,0,1.14
147,Alyangula,AU,2022-07-12 18:32:17,-13.8483,136.4192,67.06,56,11,14.25
148,Avera,US,2022-07-12 18:32:18,33.194,-82.5271,84.38,58,100,3.83
